timestamp,received_at,user_id,label,env.screenWidth,env.screenHeight,env.timezone,env.connection,env.platform,env.language,env.memory,env.browser,env.touchSupport,env.webdriver,env.battery,env.hardwareConcurrency,env.timezoneMismatch,env.canvasFingerprint,env.fontsHash,env.webglVendor,env.browserFamily,env.osFamily,env.deviceType,metrics.mouseMoves,metrics.scrollEvents,metrics.keyboardEvents,metrics.clicks,metrics.timeOnPage,metrics.idleTime,metrics.focusChanges,metrics.typingSpeedVariance,metrics.avgMouseSpeed,metrics.maxMouseSpeed,metrics.mouseJitter,metrics.directionChanges,metrics.straightness,metrics.pathVariance,metrics.avgKeyInterval,metrics.burstTypingRatio,metrics.pauseVariance,metrics.scrollVelocity,metrics.scrollAcceleration,metrics.scrollJitter,env.gpu
2026-01-07T17:03:16Z,2026-01-07 17:03:16.862,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,12 GB,Chrome/142.0.0.0,No,Yes,unavailable,16,No,slow_fp_static_6,Courier New,Intel Inc.,Chrome,Windows,Desktop,228,10,17,5,87.78,13.89,6,0.62,244.289,614.19,0.88,27,0.642,6244.83,382.62,0.313,0.916,598.84,59.11,0.8,
2026-01-07T17:04:42Z,2026-01-07 17:04:42.184,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,8 GB,Chrome/141.0.0.0,No,Yes,unavailable,8,No,slow_fp_static_7,"Arial,Verdana",Intel Inc.,Chrome,Windows,Desktop,222,15,0,6,129.47,14.14,2,0.73,154.453,422.04,0.354,23,0.543,7149.26,400.0,0.325,1.385,389.0,133.69,1.41,
2026-01-07T17:06:01Z,2026-01-07 17:06:01.147,smooth_bot,bot,1920,1080,Asia/Calcutta,4g,Win32,en-US,8 GB,Chrome/141.0.0.0,No,Yes,unavailable,12,No,slow_fp_static_8,Arial,Intel Inc.,Chrome,Windows,Desktop,206,18,23,4,123.31,14.48,2,0.563,329.135,610.15,0.496,36,0.445,6845.28,395.69,0.552,1.724,402.86,94.8,1.41,
2026-01-07T17:07:15Z,2026-01-07 17:07:15.524,smooth_bot,bot,1366,768,Asia/Calcutta,4g,Win32,en-US,12 GB,Chrome/143.0.0.0,No,Yes,100%,16,No,slow_fp_static_1,Courier New,Intel Inc.,Chrome,Windows,Desktop,201,10,19,3,154.55,15.17,2,0.657,240.73,354.87,0.825,44,0.408,7312.07,422.44,0.456,1.478,169.36,98.18,1.61,
2026-01-07T17:08:59Z,2026-01-07 17:08:59.567,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,4 GB,Chrome/141.0.0.0,No,Yes,unavailable,16,No,slow_fp_static_11,Courier New,Intel Inc.,Chrome,Windows,Desktop,259,16,19,7,171.18,13.7,6,0.452,292.736,625.89,0.831,27,0.537,6368.31,444.47,0.445,1.732,113.93,79.43,1.82,
2026-01-07T17:10:30Z,2026-01-07 17:10:30.351,smooth_bot,bot,1366,768,Asia/Calcutta,4g,Win32,en-US,12 GB,Chrome/142.0.0.0,No,Yes,unavailable,12,No,slow_fp_static_11,Arial,Intel Inc.,Chrome,Windows,Desktop,200,24,19,5,99.43,16.75,2,0.551,328.495,364.56,0.916,25,0.417,6510.25,469.87,0.534,1.622,136.3,124.0,1.55,
2026-01-07T17:11:53Z,2026-01-07 17:11:53.246,smooth_bot,bot,1920,1080,Asia/Calcutta,4g,Win32,en-US,4 GB,Chrome/141.0.0.0,No,Yes,60%,8,No,slow_fp_static_8,Verdana,Intel Inc.,Chrome,Windows,Desktop,203,17,17,5,158.7,15.33,2,0.688,103.673,717.18,0.854,52,0.536,2281.65,422.47,0.401,0.84,380.15,45.67,1.99,
2026-01-07T17:13:28Z,2026-01-07 17:13:28.029,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,8 GB,Chrome/143.0.0.0,No,Yes,100%,12,No,slow_fp_static_10,Arial,Intel Inc.,Chrome,Windows,Desktop,277,11,17,8,173.16,17.3,6,0.329,347.492,531.5,0.308,30,0.583,9970.45,425.19,0.504,1.96,500.8,65.13,1.76,
2026-01-07T17:14:54Z,2026-01-07 17:14:54.708,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,8 GB,Chrome/143.0.0.0,No,Yes,unavailable,12,No,slow_fp_static_11,"Arial,Verdana",Intel Inc.,Chrome,Windows,Desktop,252,14,16,8,75.74,10.98,5,0.629,129.818,560.84,0.974,30,0.398,2531.53,445.54,0.373,1.284,198.61,59.52,0.79,
2026-01-07T17:16:27Z,2026-01-07 17:16:27.732,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,4 GB,Chrome/141.0.0.0,No,Yes,unavailable,12,No,slow_fp_static_4,Verdana,Intel Inc.,Chrome,Windows,Desktop,265,18,16,7,104.51,16.7,4,0.709,133.774,367.26,0.894,44,0.539,2627.75,413.08,0.348,1.513,535.69,145.82,0.69,
2026-01-07T17:17:47Z,2026-01-07 17:17:47.946,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,4 GB,Chrome/142.0.0.0,No,Yes,85%,8,No,slow_fp_static_5,Arial,Intel Inc.,Chrome,Windows,Desktop,177,16,21,4,140.85,14.05,4,0.397,238.085,739.43,0.769,20,0.456,5420.2,381.32,0.405,1.544,591.08,52.72,1.86,
2026-01-07T17:19:16Z,2026-01-07 17:19:16.984,smooth_bot,bot,1366,768,Asia/Calcutta,4g,Win32,en-US,4 GB,Chrome/141.0.0.0,No,Yes,unavailable,12,No,slow_fp_static_12,Courier New,Intel Inc.,Chrome,Windows,Desktop,284,14,20,8,100.03,13.88,4,0.71,246.103,724.99,0.392,27,0.657,5482.77,401.02,0.359,1.347,439.5,52.38,0.92,
2026-01-07T17:20:35Z,2026-01-07 17:20:35.921,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,4 GB,Chrome/141.0.0.0,No,Yes,60%,12,No,slow_fp_static_8,"Arial,Verdana",Intel Inc.,Chrome,Windows,Desktop,191,21,17,3,115.03,16.22,4,0.414,214.646,432.84,0.405,43,0.31,3850.63,466.61,0.261,1.857,341.17,84.0,1.23,
2026-01-07T17:22:07Z,2026-01-07 17:22:07.692,smooth_bot,bot,1920,1080,Asia/Calcutta,4g,Win32,en-US,4 GB,Chrome/143.0.0.0,No,Yes,100%,12,No,slow_fp_static_5,Verdana,Intel Inc.,Chrome,Windows,Desktop,229,13,22,7,155.06,14.05,3,0.335,114.186,739.08,0.364,28,0.322,6512.56,452.79,0.319,1.292,340.08,133.1,1.9,
2026-01-07T17:23:48Z,2026-01-07 17:23:48.135,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,12 GB,Chrome/142.0.0.0,No,Yes,unavailable,12,No,slow_fp_static_6,Arial,Intel Inc.,Chrome,Windows,Desktop,258,20,17,8,141.77,15.2,6,0.644,377.368,723.6,0.496,41,0.416,9808.84,434.59,0.499,1.696,449.3,98.97,1.68,
2026-01-07T17:25:16Z,2026-01-07 17:25:16.518,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,4 GB,Chrome/141.0.0.0,No,Yes,unavailable,12,No,slow_fp_static_4,Verdana,Intel Inc.,Chrome,Windows,Desktop,204,19,24,5,104.8,14.15,3,0.674,141.744,586.42,0.63,30,0.516,2256.55,404.69,0.251,1.201,593.36,73.96,1.97,
2026-01-07T17:26:55Z,2026-01-07 17:26:55.374,smooth_bot,bot,1366,768,Asia/Calcutta,4g,Win32,en-US,8 GB,Chrome/141.0.0.0,No,Yes,100%,12,No,slow_fp_static_6,Arial,Intel Inc.,Chrome,Windows,Desktop,239,19,26,6,178.15,16.31,2,0.564,111.058,646.07,0.633,44,0.657,3510.77,405.08,0.251,1.684,389.97,136.06,1.85,
2026-01-07T17:28:44Z,2026-01-07 17:28:44.952,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,4 GB,Chrome/143.0.0.0,No,Yes,100%,12,No,slow_fp_static_4,Verdana,Intel Inc.,Chrome,Windows,Desktop,260,25,21,7,132.56,16.92,4,0.547,181.877,671.24,0.484,35,0.615,8823.86,457.39,0.426,0.955,181.99,81.73,0.69,
2026-01-07T17:30:16Z,2026-01-07 17:30:16.331,smooth_bot,bot,1920,1080,Asia/Calcutta,4g,Win32,en-US,4 GB,Chrome/143.0.0.0,No,Yes,60%,12,No,slow_fp_static_10,Courier New,Intel Inc.,Chrome,Windows,Desktop,228,18,17,5,103.61,12.35,3,0.742,319.553,409.71,0.371,20,0.539,5719.94,410.16,0.26,1.026,510.74,131.47,1.36,
2026-01-07T17:31:52Z,2026-01-07 17:31:52.185,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,4 GB,Chrome/143.0.0.0,No,Yes,100%,8,No,slow_fp_static_8,"Arial,Verdana",Intel Inc.,Chrome,Windows,Desktop,230,13,19,6,145.84,15.31,3,0.712,360.458,762.22,0.627,40,0.376,2781.25,447.43,0.418,0.517,437.39,136.09,1.25,
2026-01-07T17:33:17Z,2026-01-07 17:33:18.002,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,8 GB,Chrome/141.0.0.0,No,Yes,85%,8,No,slow_fp_static_6,Arial,Intel Inc.,Chrome,Windows,Desktop,180,19,20,4,156.13,15.76,2,0.628,247.974,495.43,0.859,20,0.458,8936.45,436.9,0.565,1.653,542.19,100.6,1.36,
2026-01-07T17:34:55Z,2026-01-07 17:34:55.803,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,12 GB,Chrome/141.0.0.0,No,Yes,unavailable,8,No,slow_fp_static_12,"Arial,Verdana",Intel Inc.,Chrome,Windows,Desktop,263,18,20,7,136.59,18.86,2,0.498,349.695,406.6,0.702,27,0.361,7191.4,437.26,0.37,1.799,276.17,90.55,1.71,
2026-01-07T17:36:18Z,2026-01-07 17:36:18.691,smooth_bot,bot,1920,1080,Asia/Calcutta,4g,Win32,en-US,4 GB,Chrome/141.0.0.0,No,Yes,unavailable,16,No,slow_fp_static_10,Courier New,Intel Inc.,Chrome,Windows,Desktop,190,24,25,3,88.69,17.46,3,0.773,237.879,445.56,0.789,32,0.382,7682.44,412.45,0.325,1.811,255.55,43.98,1.19,
2026-01-07T17:37:39Z,2026-01-07 17:37:39.386,smooth_bot,bot,1366,768,Asia/Calcutta,4g,Win32,en-US,12 GB,Chrome/142.0.0.0,No,Yes,unavailable,12,No,slow_fp_static_12,Verdana,Intel Inc.,Chrome,Windows,Desktop,249,15,0,7,71.41,12.48,3,0.396,129.066,789.13,0.367,30,0.313,7244.63,400.0,0.506,0.831,156.35,45.4,1.09,
2026-01-07T17:39:04Z,2026-01-07 17:39:04.442,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,4 GB,Chrome/143.0.0.0,No,Yes,unavailable,12,No,slow_fp_static_5,Courier New,Intel Inc.,Chrome,Windows,Desktop,159,22,23,3,122.14,16.38,6,0.707,365.736,413.64,0.555,20,0.581,8166.2,408.67,0.384,1.936,140.71,132.19,0.78,
2026-01-07T17:40:16Z,2026-01-07 17:40:16.419,smooth_bot,bot,1920,1080,Asia/Calcutta,4g,Win32,en-US,8 GB,Chrome/142.0.0.0,No,Yes,unavailable,8,No,slow_fp_static_8,Courier New,Intel Inc.,Chrome,Windows,Desktop,170,17,18,4,114.76,15.42,6,0.774,100.887,441.87,0.432,51,0.409,8846.0,430.9,0.438,1.135,264.37,144.62,1.65,
2026-01-07T17:41:39Z,2026-01-07 17:41:39.290,smooth_bot,bot,1920,1080,Asia/Calcutta,4g,Win32,en-US,4 GB,Chrome/141.0.0.0,No,Yes,unavailable,12,No,slow_fp_static_7,Courier New,Intel Inc.,Chrome,Windows,Desktop,270,16,0,8,83.1,14.02,2,0.594,374.172,635.5,0.897,41,0.631,8353.9,400.0,0.457,1.179,292.29,67.0,1.91,
2026-01-07T17:43:02Z,2026-01-07 17:43:02.081,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,12 GB,Chrome/141.0.0.0,No,Yes,unavailable,8,No,slow_fp_static_4,Arial,Intel Inc.,Chrome,Windows,Desktop,221,13,20,7,79.38,14.16,2,0.499,103.787,537.62,0.494,31,0.411,7687.88,450.36,0.451,0.931,145.14,22.21,1.86,
2026-01-07T17:44:44Z,2026-01-07 17:44:44.907,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,12 GB,Chrome/143.0.0.0,No,Yes,60%,12,No,slow_fp_static_3,"Arial,Verdana",Intel Inc.,Chrome,Windows,Desktop,252,22,19,8,174.98,14.27,6,0.692,146.402,676.94,0.612,60,0.601,8141.15,403.26,0.556,1.551,160.99,85.55,1.21,
2026-01-09T06:44:59Z,2026-01-09 06:44:59.703,smooth_bot,bot,1366,768,Asia/Calcutta,4g,Win32,en-US,4 GB,Chrome/141.0.0.0,No,Yes,85%,12,No,slow_fp_static_12,"Arial,Verdana",Intel Inc.,Chrome,Windows,Desktop,265,24,20,7,98.65,13.03,5,0.36,398.936,745.35,0.999,35,0.651,3115.31,464.53,0.229,0.852,401.09,133.71,0.73,
2026-01-09T06:46:36Z,2026-01-09 06:46:36.329,smooth_bot,bot,1920,1080,Asia/Calcutta,4g,Win32,en-US,8 GB,Chrome/142.0.0.0,No,Yes,unavailable,12,No,slow_fp_static_3,Courier New,Intel Inc.,Chrome,Windows,Desktop,215,23,19,6,147.58,15.49,6,0.467,210.184,469.42,0.924,51,0.328,5048.85,475.87,0.228,0.531,110.68,139.93,1.84,
2026-01-09T06:48:14Z,2026-01-09 06:48:14.802,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,8 GB,Chrome/143.0.0.0,No,Yes,unavailable,8,No,slow_fp_static_1,Verdana,Intel Inc.,Chrome,Windows,Desktop,233,23,21,6,156.82,15.27,5,0.372,245.222,464.66,0.876,50,0.679,2216.22,425.93,0.34,0.923,568.7,101.88,0.7,
2026-01-09T06:49:47Z,2026-01-09 06:49:47.726,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,8 GB,Chrome/143.0.0.0,No,Yes,unavailable,8,No,slow_fp_static_9,Arial,Intel Inc.,Chrome,Windows,Desktop,228,17,21,6,164.33,12.7,3,0.592,336.393,591.86,0.746,37,0.35,5172.21,435.79,0.48,0.515,124.17,59.05,0.87,
2026-01-09T06:51:22Z,2026-01-09 06:51:22.510,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,4 GB,Chrome/142.0.0.0,No,Yes,85%,12,No,slow_fp_static_3,Verdana,Intel Inc.,Chrome,Windows,Desktop,238,19,21,5,103.42,15.18,2,0.369,172.498,406.83,0.778,42,0.385,2986.49,457.03,0.264,1.107,478.6,33.06,0.77,
2026-01-09T06:53:05Z,2026-01-09 06:53:05.370,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,8 GB,Chrome/142.0.0.0,No,Yes,unavailable,12,No,slow_fp_static_5,Arial,Intel Inc.,Chrome,Windows,Desktop,250,19,26,7,112.31,17.54,6,0.313,382.846,738.54,0.632,24,0.483,3159.8,420.0,0.411,1.577,404.46,95.79,1.89,
2026-01-09T06:54:35Z,2026-01-09 06:54:35.129,smooth_bot,bot,1920,1080,Asia/Calcutta,4g,Win32,en-US,12 GB,Chrome/142.0.0.0,No,Yes,100%,12,No,slow_fp_static_12,Verdana,Intel Inc.,Chrome,Windows,Desktop,230,12,19,5,157.24,16.42,2,0.308,235.332,592.87,0.622,28,0.648,4970.65,419.91,0.538,1.292,569.68,116.7,1.73,
2026-01-09T06:56:20Z,2026-01-09 06:56:20.332,smooth_bot,bot,1920,1080,Asia/Calcutta,4g,Win32,en-US,12 GB,Chrome/143.0.0.0,No,Yes,unavailable,12,No,slow_fp_static_6,Verdana,Intel Inc.,Chrome,Windows,Desktop,280,22,22,8,76.14,14.94,3,0.751,294.468,515.42,0.908,54,0.431,4103.64,390.7,0.592,1.79,399.02,60.46,1.32,
2026-01-09T06:57:56Z,2026-01-09 06:57:56.706,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,4 GB,Chrome/142.0.0.0,No,Yes,60%,12,No,slow_fp_static_9,"Arial,Verdana",Intel Inc.,Chrome,Windows,Desktop,248,25,19,7,131.73,13.07,2,0.734,173.506,722.68,0.451,44,0.582,2399.22,406.19,0.41,1.184,121.55,34.17,1.55,
2026-01-09T06:59:28Z,2026-01-09 06:59:28.772,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,8 GB,Chrome/142.0.0.0,No,Yes,unavailable,12,No,slow_fp_static_2,Verdana,Intel Inc.,Chrome,Windows,Desktop,245,15,18,7,162.14,12.37,3,0.348,329.648,486.13,0.489,51,0.573,5596.3,392.6,0.227,1.704,356.85,114.06,0.81,
2026-01-09T07:01:20Z,2026-01-09 07:01:20.047,smooth_bot,bot,1366,768,Asia/Calcutta,4g,Win32,en-US,8 GB,Chrome/142.0.0.0,No,Yes,60%,12,No,slow_fp_static_10,"Arial,Verdana",Intel Inc.,Chrome,Windows,Desktop,287,21,24,8,69.86,15.38,2,0.464,383.426,660.11,0.659,25,0.513,5516.96,403.27,0.462,1.943,159.07,110.33,1.06,
2026-01-09T07:02:43Z,2026-01-09 07:02:43.515,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,12 GB,Chrome/142.0.0.0,No,Yes,unavailable,8,No,slow_fp_static_10,"Arial,Verdana",Intel Inc.,Chrome,Windows,Desktop,192,24,22,5,168.06,14.53,4,0.357,119.224,639.85,0.707,49,0.685,4454.08,436.86,0.318,1.171,221.0,43.45,0.69,
2026-01-09T07:04:18Z,2026-01-09 07:04:18.820,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,8 GB,Chrome/141.0.0.0,No,Yes,unavailable,12,No,slow_fp_static_2,Arial,Intel Inc.,Chrome,Windows,Desktop,249,17,17,8,170.18,14.61,3,0.769,379.461,775.01,0.341,51,0.4,7448.45,395.91,0.272,1.443,497.67,146.41,1.66,
2026-01-09T07:05:36Z,2026-01-09 07:05:36.023,smooth_bot,bot,1536,864,Asia/Calcutta,4g,Win32,en-US,12 GB,Chrome/143.0.0.0,No,Yes,85%,8,No,slow_fp_static_12,"Arial,Verdana",Intel Inc.,Chrome,Windows,Desktop,197,10,21,4,100.51,13.1,2,0.646,256.302,525.79,0.32,21,0.338,9573.28,446.03,0.212,1.301,299.32,137.15,1.75,
